run_acc	sample_type	sample_subtype	organism	gold
SRR5451664	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0112772
SRR5451670	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0112773
SRR5451679	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0112774
SRR5451700	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112776
SRR5451714	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0112775
SRR5451725	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112777
SRR5451739	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112780
SRR5451810	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112781
SRR5452023	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112782
SRR5452084	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112783
SRR5452139	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112787
SRR5452140	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112786
SRR5452141	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112784
SRR5452142	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112785
SRR5452232	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112788
SRR5452256	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112789
SRR5456702	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112790
SRR5456703	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112794
SRR5456737	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112795
SRR5456787	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112793
SRR5456800	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112792
SRR5456801	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112791
SRR5456833	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112796
SRR5456904	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112797
SRR5456944	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112798
SRR5456945	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112800
SRR5456946	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112799
SRR5456958	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112802
SRR5456965	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112801
SRR5456967	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112803
SRR5456970	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112804
SRR5456973	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112805
SRR5456974	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112806
SRR5456975	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112807
SRR5456976	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112808
SRR5456985	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112810
SRR5456986	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112809
SRR5456988	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112812
SRR5460454	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116322
SRR5460455	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116323
SRR5460457	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116321
SRR5460458	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116320
